quarter,d,tau,g,c,mu,pd,cum_log_r
46,-0.0025849411222222674,0.19034420480409547,0.004528861229958459,-0.19292914592631774,0.02971995166149974,4.061462178660052,0.8432939283691083
47,0.03108919486728423,0.19487306603405394,0.00440519335803334,-0.1637838711667697,0.02628441198145648,4.097070329822519,0.929060892606635
48,0.045901523853011716,0.19927825939208726,0.004601412608787534,-0.15337673553907555,0.023824787063865097,4.143687007055376,1.0062296287532555
49,0.07142273364077231,0.2038796720008748,0.004510079341830312,-0.1324569383601025,0.0217452475944103,4.163883762607778,1.0673750361974137
50,0.13478922175448338,0.20838975134270513,0.004714402650811995,-0.07360052958822175,0.016272801398015294,4.236960723714629,1.2181665056167605
51,0.15855075633490015,0.21310415399351712,0.004211192100628098,-0.05455339765861696,0.00557283090781157,4.384614244629434,1.4019721760956698
52,0.1448619873530064,0.2173153460941452,0.0043754653982116904,-0.07245335874113881,0.011196623193680576,4.3020419391052185,1.3191611242512162
53,0.12332583779085354,0.2216908114923569,0.004390871141605551,-0.09836497370150335,0.012035608681420795,4.306407599090578,1.3153824576617903
54,0.13649306145266973,0.22608168263396244,0.004101063450917214,-0.08958862118129271,0.01587431972347688,4.216264045982414,1.253052012405608
55,0.17458651725477506,0.23018274608487965,0.004206575356505926,-0.05559622883010459,0.02384067845271636,4.050303948587565,1.1424525119082687
56,0.12559860775179496,0.23438932144138558,0.004052952959932077,-0.10879071368959062,0.031025031274512425,3.9366100107674695,0.9990969587076903
57,0.1296840005835246,0.23844227440131766,0.0039903864129756834,-0.10875827381779304,0.024323706667048466,4.069405079547977,1.152920621407541
58,0.1420849229898728,0.24243266081429335,0.003943133468136626,-0.10034773782442057,0.023490079087083282,4.070876089704955,1.1837110592562818
59,0.15521640801712122,0.24637579428242998,0.004318234676337674,-0.09115938626530874,0.03167722745074355,3.936613209831766,1.0819058973004823
60,0.1595023093322833,0.25069402895876763,0.004023431869951318,-0.09119171962648434,0.033155956460695746,3.889663341317233,1.0594878221801176
61,0.16741904850710032,0.25471746082871893,0.0042271216514868145,-0.08729841232161861,0.034362577006498224,3.877895010080334,1.076119352045211
62,0.13824855742107112,0.25894458248020574,0.004453947241204556,-0.12069602505913461,0.0321458622862108,3.9517689343335785,1.13986107300479
63,0.1605856154441911,0.2633985297214103,0.004094236783910274,-0.10281291427721924,0.036997960080217815,3.836526025874666,1.0682943153757791
64,0.20489661126135394,0.2674927665053206,0.0039730778309843345,-0.06259615524396668,0.04172651776478611,3.710165610320175,1.0104236883209432
65,0.2409606450383722,0.27146584433630494,0.0038742884241512237,-0.030505199297932748,0.044673831129248845,3.6257307490368293,0.9883340944368015
66,0.1961107156420453,0.27534013276045616,0.004520848598479573,-0.07922941711841087,0.04372568598651922,3.7073834125199525,1.0493821749773513
67,0.18955663565883846,0.2798609813589357,0.004482164930701359,-0.09030434570009725,0.04231090742330316,3.749203890280835,1.1079123367508732
68,0.14910883516803342,0.2843431462896371,0.004720298616118408,-0.13523431112160367,0.04602245045040898,3.719207990179385,1.061432367559096
69,0.14391364979089105,0.2890634449057555,0.004519671649325963,-0.14514979511486442,0.040566136818529,3.824539200195109,1.1831620536329228
70,0.18092510923590038,0.29358311655508146,0.004458350393766532,-0.11265800731918106,0.030722613346680756,3.980041229495542,1.394187993592579
71,0.1964799549769796,0.298041466948848,0.004848785808051141,-0.10156151197186838,0.017236788723951187,4.241925121578842,1.6859042036635987
72,0.20775851373806936,0.3028902527568991,0.004583689295307723,-0.09513173901882976,0.02369822610411639,4.102409098112704,1.5740643583914702
73,0.19970632414279063,0.30747394205220685,0.004482682569152393,-0.10776761790941622,0.01874991643676576,4.194694467534354,1.6732603822092642
74,0.16659260315027177,0.31195662462135926,0.00431664239840053,-0.14536402147108748,0.011258458205607672,4.350109848005572,1.8083848715476156
75,0.16937135975035725,0.3162732670197598,0.004732634431625783,-0.14690190726940253,0.01110510230330811,4.384157809668973,1.8576078266784082
76,0.24134347794961547,0.3210059014513856,0.004966620851442168,-0.07966242350177012,0.01498077731143513,4.282243019261787,1.8413822904376298
77,0.2625288398092249,0.32597252230282775,0.0048559597851245105,-0.0634436824936028,0.008784687350781493,4.368942033094412,1.9618517726582363
78,0.2817164923973393,0.33082848208795224,0.004654121068518014,-0.04911198969061294,0.006810221236858639,4.38702641161048,2.0114847502745477
79,0.32044540732144344,0.33548260315647027,0.00450535221219305,-0.015037195835026811,-0.002596334592827052,4.527376164360946,2.2013144182177653
80,0.3019741970423678,0.33998795536866333,0.004885679344617972,-0.038013758326295576,-0.004970336180221919,4.604076185145183,2.269504397135983
81,0.291598107686645,0.3448736347132813,0.004755404197338354,-0.053275527026636314,-0.00022625703468961023,4.524220487553064,2.190057408146923
82,0.350056713003563,0.34962903891061964,0.005051104512514621,0.0004276740929433434,0.0007570981904877956,4.4902271745287985,2.2256783393246513
83,0.33575994185072344,0.35468014342313425,0.005113337765689442,-0.018920201572410825,0.005309891572537313,4.41186232432023,2.1450762708737354
84,0.2944815537576466,0.3597934811888237,0.005433822931493207,-0.06531192743117707,0.00043785314282268097,4.559373257825846,2.26172301776473
85,0.27477773653726834,0.3652273041203169,0.005275030882187768,-0.09044956758304853,-0.003286741990806175,4.638599759662235,2.330870465586612
86,0.2538694714161682,0.3705023350025047,0.005408466553721466,-0.11663286358633644,-0.004840735519153955,4.694485401310124,2.374951847069239
87,0.262066066439806,0.37591080155622614,0.00548429902692881,-0.11384473511642011,0.006227946195336117,4.496028198431465,2.1957827078383856
88,0.21564862360660808,0.38139510058315496,0.00586060055121318,-0.16574647697654687,0.009260395953832446,4.493745906326599,2.1581996440604003
89,0.16916754125457117,0.38725570113436814,0.0059232150605726865,-0.21808815987979696,0.008893843355084226,4.547945898829919,2.176451816908534
90,0.11764263690075089,0.39317891619494083,0.005841017459705106,-0.27553627929418995,0.010642859614260505,4.550375517384658,2.137864366884169
91,0.12807914347228283,0.39901993365464594,0.005999763916845407,-0.2709407901823631,0.003199919268564234,4.704254378828904,2.3111956338043864
92,0.09984766336845308,0.40501969757149137,0.005899819899491549,-0.3051720342030383,0.004521883404113092,4.689508602718527,2.2773675971227023
93,0.05365798998688465,0.41091951747098293,0.005842504189818118,-0.3572615274840983,0.0036217429948007807,4.743756944327468,2.2940944648938393
94,0.04277718523605262,0.41676202166080106,0.005615162607358287,-0.37398483642474845,-0.0005549919413213276,4.822372572956741,2.3698447497481707
95,0.06500628366866151,0.42237718426815934,0.005649422539138268,-0.35737090059949783,0.00030856793938978063,4.798699087906068,2.3766070561095036
96,0.0717557339644474,0.4280266068072976,0.0058095726604619775,-0.3562708728428502,-0.00027422824519670414,4.81571662060824,2.4084428131766975
97,0.07302292341861222,0.4338361794677596,0.005829906079254778,-0.3608132560491474,0.006862124680357077,4.689024212590064,2.2921712267837044
98,0.0703399014182059,0.43966608554701436,0.005646712958477581,-0.36932618412880847,-0.004383715442256993,4.8911673180650075,2.4991158785716303
99,0.013238272240331639,0.44531279850549194,0.005818357754114058,-0.4320745262651603,-0.004607245214152253,4.946822436631287,2.5047501923562274
100,-0.011092613208851465,0.451131156259606,0.005530198964854621,-0.46222376946845745,0.00372812074644321,4.80367592714932,2.3454389143785432
